text	entity_category	image_id	person	location	organization	miscellaneous
Harry Potter and The Order of the Phoenix . ღ	[('Harry Potter and The Order of the Phoenix', 'miscellaneous')]	O_4146.jpg	[]	[]	[]	['Harry Potter and The Order of the Phoenix']
Happy birthday @ dachejones . Best fantasy football GM I know . Can ' t wait to be back home with you and the guys	[('dachejones', 'person')]	16_05_01_391.jpg	['dachejones']	[]	[]	[]
Happy Birthday @ soccerkorpics18 Hope you have a good day 💙	[('soccerkorpics18', 'person')]	16_05_18_501.jpg	['soccerkorpics18']	[]	[]	[]
So grateful that I just received my first offer and opportunity to play D1 football at Morehead State University ! 🙏 🏾	[('Morehead State University', 'organization')]	16_05_19_178.jpg	[]	[]	['Morehead State University']	[]
Photos Of Notorious Kidnapper , Evans Paraded Along With His Gang Members	[('Evans', 'person')]	17_06_4982.jpg	['Evans']	[]	[]	[]
Congratulations to barcelona for defending the la liga title , its be a great season , proud to be a fan	[('barcelona', 'organization'), ('la liga', 'organization')]	16_05_14_681.jpg	[]	[]	['barcelona', 'la liga']	[]
WATCH : Anger outside a Donald Trump rally leads our Eye Opener - your world in 90 seconds :	[('Anger', 'person'), ('Donald Trump', 'person')]	O_4097.jpg	['Anger', 'Donald Trump']	[]	[]	[]
Do what you say you will do . Too many leaders just do whatever they can get away with . Be credible . # Influence101	[]	16_05_01_222.jpg	[]	[]	[]	[]
# RT # Follow # TopStories How Donald Trump is running to the left of Hillary Clinton - …	[('Donald Trump', 'person'), ('Hillary Clinton', 'person')]	O_2955.jpg	['Donald Trump', 'Hillary Clinton']	[]	[]	[]
Beautiful day for the Armed Forces Day parade in Forsyth . Hooah !	[('Armed Forces Day', 'miscellaneous'), ('Forsyth', 'location')]	16_05_21_228.jpg	[]	['Forsyth']	[]	['Armed Forces Day']
Jessica And Former NBA Star Stephon Marbury Snap Cute Shots Together	[('Jessica', 'person'), ('Stephon Marbury', 'person')]	16_05_22_713.jpg	['Jessica', 'Stephon Marbury']	[]	[]	[]
Indonesia to lift suspension of soccer association	[('Indonesia', 'location')]	16_05_10_327.jpg	[]	['Indonesia']	[]	[]
My Future Hearts Tour concert was one year ago today . One of the best 😭	[('Future Hearts', 'miscellaneous')]	16_05_15_746.jpg	[]	[]	[]	['Future Hearts']
Christina Aguilera was at her prime during the 2000 ' s , a culture appropiating mess but she was cute	[('Christina Aguilera', 'person')]	O_2366.jpg	['Christina Aguilera']	[]	[]	[]
😑 i just got dubbed for basketball	[]	17_06_4841.jpg	[]	[]	[]	[]
Ryan Seacrest , Alec Baldwin among the next ' Live With Kelly ' guest co - hosts	[('Ryan Seacrest', 'person'), ('Alec Baldwin', 'person'), ('Live With Kelly', 'miscellaneous')]	O_3572.jpg	['Ryan Seacrest', 'Alec Baldwin']	[]	[]	['Live With Kelly']
( 9 ) More photos of Justin Bieber performing on the # PurposeTour tonight in Boston , Massachusetts . ( May 11 )	[('Justin Bieber', 'person'), ('Boston', 'location'), ('Massachusetts', 'location')]	O_2430.jpg	['Justin Bieber']	['Boston', 'Massachusetts']	[]	[]
Donald Trump Thinks Wind Energy Kills Too Many Eagles . He ' s Right !	[('Donald Trump', 'person')]	O_2590.jpg	['Donald Trump']	[]	[]	[]
Seth Meyers tears apart Donald Trump over ' terrible Tinder date ' with James Comey	[('Seth Meyers', 'person'), ('Donald Trump', 'person'), ('Tinder', 'organization'), ('James Comey', 'person')]	O_3845.jpg	['Seth Meyers', 'Donald Trump', 'James Comey']	[]	['Tinder']	[]
Donald Trump must faint when he sees two walls this good .	[('Donald Trump', 'person')]	O_1099.jpg	['Donald Trump']	[]	[]	[]
Giants_101 : Giants Vs . Packers : 4 Players to Watch # giants # nyg # nfl	[('Giants_101', 'organization'), ('Giants', 'organization'), ('Packers', 'organization'), ('giants', 'organization'), ('nyg', 'organization'), ('nfl', 'organization')]	17_01_16463.jpg	[]	[]	['Giants_101', 'Giants', 'Packers', 'giants', 'nyg', 'nfl']	[]
Wayne Rooney na the Face of Manchester United # MUIP	[('Wayne Rooney', 'person'), ('Manchester United', 'organization')]	O_1852.jpg	['Wayne Rooney']	[]	['Manchester United']	[]
❤ ❤ 💙 # Bieber # BestSeller JUSTIN BIEBER SHIRT JUSTIN BIEBER IS MY BOYFRIEND # JustinBieber …	[('Bieber', 'person'), ('JUSTIN BIEBER', 'person'), ('JUSTIN BIEBER', 'person'), ('JustinBieber', 'person')]	O_3825.jpg	['Bieber', 'JUSTIN BIEBER', 'JUSTIN BIEBER', 'JustinBieber']	[]	[]	[]
We took in an incredible soccer game at famous Maracana Stadium !	[('Maracana Stadium', 'location')]	16_05_08_609.jpg	[]	['Maracana Stadium']	[]	[]
Tonight was incredible ! # LCFCParade # havingaparty # LCFCChampions # WeAreLeicester	[('LCFCParade', 'miscellaneous')]	16_05_16_323.jpg	[]	[]	[]	['LCFCParade']
MT @ SheilaS : Finally made it to a special concert , the Symphony in the Flint Hills @ SITFHs	[('SheilaS', 'person'), ('Symphony in the Flint Hills', 'location'), ('SITFHs', 'location')]	17_06_12743.jpg	['SheilaS']	['Symphony in the Flint Hills', 'SITFHs']	[]	[]
add me on sc to see my b . a . p concert last night 😊 😊 😊 😊 😊 - marycherryk	[('b . a . p', 'person')]	16_05_27_128.jpg	['b . a . p']	[]	[]	[]
". @ ericbolling : "" Most of the country believes in Donald Trump . """	[('ericbolling', 'person'), ('Donald Trump', 'person')]	O_4486.jpg	['ericbolling', 'Donald Trump']	[]	[]	[]
This is why football is the best sport in the world 🏆 🏆	[]	16_05_07_249.jpg	[]	[]	[]	[]
Trump ' s Conflicts of Interest in Russia	[('Trump', 'person'), ('Russia', 'location')]	17_06_13233.jpg	['Trump']	['Russia']	[]	[]
Best shot ever of my Dad and I . Did a mini - concert show for his living community today . He produced it . Bravo Pops !	[]	17_06_4238.jpg	[]	[]	[]	[]
[ NEWSFEED ] Prenjak warnai Festival Film Cannes	[('Prenjak', 'miscellaneous'), ('Festival Film Cannes', 'miscellaneous')]	16_05_12_259.jpg	[]	[]	[]	['Prenjak', 'Festival Film Cannes']
GIRLS BASKETBALL : Cheshire soldiers on without standout point guard	[('Cheshire', 'organization')]	17_01_5292.jpg	[]	[]	['Cheshire']	[]
Baseball Game - After a long time ( app 2 hours ) in the Smith ' s Ballpark Salt Lake City I got absolutely no idea , ho …	"[(""Smith ' s Ballpark"", 'location'), ('Salt Lake City', 'location')]"	16_05_23_1024.jpg	[]	"[""Smith ' s Ballpark"", 'Salt Lake City']"	[]	[]
NSAA - New Article - Baseball : Vikings advance with 8 - 5 win over Dickinson -	[('NSAA', 'organization'), ('Vikings', 'organization'), ('Dickinson', 'organization')]	16_05_07_736.jpg	[]	[]	['NSAA', 'Vikings', 'Dickinson']	[]
Didn ' t know what to do today , found a baseball game @ FSUBaseball # GoNoles !	[('FSUBaseball', 'organization')]	16_05_21_787.jpg	[]	[]	['FSUBaseball']	[]
Wise words from # NCAAs leader in most all - time wins for a coach in # basketball history ! # Monday # MondayMotivation	[('NCAAs', 'organization')]	16_05_23_197.jpg	[]	[]	['NCAAs']	[]
Donald Trump is eating a taco salad on top of a bikini - clad photo of his ex - wife , Marla Maples .	[('Donald Trump', 'person'), ('Marla Maples', 'person')]	O_320.jpg	['Donald Trump', 'Marla Maples']	[]	[]	[]
What a BE - U - T - FULL day on the River Walk . Perfect weather for the Armed Forces River Parade	[('River Walk', 'location'), ('Armed Forces River Parade', 'miscellaneous')]	16_05_20_1040.jpg	[]	['River Walk']	[]	['Armed Forces River Parade']
LeBron James Comments on Reaching 6 th Straight NBA Finals	[('LeBron James', 'person'), ('NBA', 'organization')]	16_05_28_482.jpg	['LeBron James']	[]	['NBA']	[]
And I love this ! ! Our suite was bumpin ' in game 7 ! ! @ StLouisBlues # NHL17Tarasenko	[('StLouisBlues', 'organization')]	16_05_14_1061.jpg	[]	[]	['StLouisBlues']	[]
When you ' re raiding for hours with a friend then one piece of your loot drops and you both hit need . # warcraft	[('warcraft', 'miscellaneous')]	O_4757.jpg	[]	[]	[]	['warcraft']
I ' m tired and hungry and smell like seaweed but the Savannah sand festival was a - ok	[('Savannah', 'location')]	16_05_06_236.jpg	[]	['Savannah']	[]	[]
Mark Schwarzer is the first player ever to win 2 Premier League titles in a row without having played a single game .	[('Mark Schwarzer', 'person'), ('Premier League', 'organization')]	16_05_04_644.jpg	['Mark Schwarzer']	[]	['Premier League']	[]
What would the Founding Fathers think of Donald Trump ?	[('Donald Trump', 'person')]	O_2619.jpg	['Donald Trump']	[]	[]	[]
we good listening to lil boat and shit talking bout life byeeeeee h8rz	[('lil boat', 'miscellaneous'), ('h8rz', 'miscellaneous')]	O_626.jpg	[]	[]	[]	['lil boat', 'h8rz']
Got some great work in wit the future of Collins Tiger football . . . All these kids need is someone to care	[('Collins Tiger', 'organization')]	16_05_15_601.jpg	[]	[]	['Collins Tiger']	[]
Sergio Ramos becomes first defender to score in two Champions League finals	[('Sergio Ramos', 'person'), ('Champions League', 'miscellaneous')]	O_244.jpg	['Sergio Ramos']	[]	[]	['Champions League']
Kevin Durant putting up more bricks than Super Mario Bros	[('Kevin Durant', 'person'), ('Super Mario Bros', 'miscellaneous')]	O_3969.jpg	['Kevin Durant']	[]	[]	['Super Mario Bros']
Add your name to stand with the Vice President against Donald Trump :	[('Donald Trump', 'person')]	O_556.jpg	['Donald Trump']	[]	[]	[]
WHAT IF LeBron chose to sign with the Chicago Bulls back in 2010 ? @ the . nba . way 🎨 @ swapgods	[('LeBron', 'person'), ('Chicago Bulls', 'organization')]	17_06_12132.jpg	['LeBron']	[]	['Chicago Bulls']	[]
Who is the better player ? # Retweet for LeBron James # Favorite for Kevin Durant	[('LeBron James', 'person'), ('Kevin Durant', 'person')]	O_2820.jpg	['LeBron James', 'Kevin Durant']	[]	[]	[]
Harry Styles new looks ! What do u think ?	[('Harry Styles', 'person')]	O_4783.jpg	['Harry Styles']	[]	[]	[]
LeBron - fan Rihanna stares at Kevin Durant during Game 1 of the 2017 NBA Finals .	[('LeBron', 'person'), ('Rihanna', 'person'), ('Kevin Durant', 'person'), ('NBA', 'organization')]	O_1116.jpg	['LeBron', 'Rihanna', 'Kevin Durant']	[]	['NBA']	[]
@ adidasfootball A picture from Besiktas JK .	[('Besiktas JK', 'organization')]	17_06_6689.jpg	[]	[]	['Besiktas JK']	[]
Walk of shame or The I got laid parade ?	[]	16_05_19_775.jpg	[]	[]	[]	[]
AVENGED SEVENFOLD , DEFTONES , CHEVELLE Set For First Annual TEXAS MUTINY Festival	[('AVENGED SEVENFOLD', 'person'), ('DEFTONES', 'person'), ('CHEVELLE', 'person'), ('TEXAS MUTINY Festival', 'miscellaneous')]	16_05_02_310.jpg	['AVENGED SEVENFOLD', 'DEFTONES', 'CHEVELLE']	[]	[]	['TEXAS MUTINY Festival']
Calm down Gregg , it ' s soccer @ bellathorne	[('Gregg', 'person'), ('bellathorne', 'person')]	17_06_14861.jpg	['Gregg', 'bellathorne']	[]	[]	[]
Blake Lively is pregnant with a stomach looking like mine after I smell food	[('Blake Lively', 'person')]	O_2250.jpg	['Blake Lively']	[]	[]	[]
MLB Draft 2017 : Breaking down the Orioles picks in rounds 1 - 10 # orioles # MLB	[('MLB', 'organization'), ('Orioles', 'organization'), ('orioles', 'organization'), ('MLB', 'organization')]	17_06_11652.jpg	[]	[]	['MLB', 'Orioles', 'orioles', 'MLB']	[]
Good luck tomorrow to my Bhoy and his teammates . . . . don ' t you just love being a football mum ⚽ ️ ☔ ️ ⚽ ️ ☔ ️	[('Bhoy', 'person')]	16_05_20_599.jpg	['Bhoy']	[]	[]	[]
# Where You Get Basketball News First ?	[]	16_05_26_646.jpg	[]	[]	[]	[]
Beautiful day for some football ! @ HenkeKohl	[('HenkeKohl', 'person')]	17_06_14665.jpg	['HenkeKohl']	[]	[]	[]
Nicky Rockets Catwalk show at the Alternative Fashion Festival in Manche . . .	[('Nicky Rockets', 'organization'), ('Alternative Fashion Festival', 'miscellaneous'), ('Manche', 'location')]	17_06_8458.jpg	[]	['Manche']	['Nicky Rockets']	['Alternative Fashion Festival']
NFL star Patrick Willis is thriving in retirement as a Silicon Valley tech worker	[('NFL', 'organization'), ('Patrick Willis', 'person'), ('Silicon Valley', 'location')]	16_05_18_635.jpg	['Patrick Willis']	['Silicon Valley']	['NFL']	[]
BTS Has Dethroned Justin Bieber As The Top Social Artist :	[('BTS', 'person'), ('Justin Bieber', 'person')]	O_892.jpg	['BTS', 'Justin Bieber']	[]	[]	[]
"TheEconomist : Donald Trump calls it "" rape "" . China calls it a commitment . A looming trade row …"	[('TheEconomist', 'organization'), ('Donald Trump', 'person'), ('China', 'location')]	O_1862.jpg	['Donald Trump']	['China']	['TheEconomist']	[]
Klay Thompson looking like he already planning what he gonna do after they get eliminated . . . # NBAPlayoffs	[('Klay Thompson', 'person')]	16_05_22_529.jpg	['Klay Thompson']	[]	[]	[]
J . Cole ' s the highest paid rapper of 2015	[('J . Cole', 'person')]	O_1587.jpg	['J . Cole']	[]	[]	[]
New polls show Hillary Clinton and Donald Trump neck - and - neck	[('Hillary Clinton', 'person'), ('Donald Trump', 'person')]	O_4793.jpg	['Hillary Clinton', 'Donald Trump']	[]	[]	[]
Newly released old photo of Justin Bieber spotted with Josh Gudwin .	[('Justin Bieber', 'person'), ('Josh Gudwin', 'person')]	O_3353.jpg	['Justin Bieber', 'Josh Gudwin']	[]	[]	[]
RT ARapperSaid_ : Michael Jordan congratulates Russell Westbrook on winning MVP 🙏 👏	[('Michael Jordan', 'person'), ('Russell Westbrook', 'person')]	O_3689.jpg	['Michael Jordan', 'Russell Westbrook']	[]	[]	[]
Julius Erving , Allen Iverson react to 76 ers winning NBA draft lottery # 76 ers	[('Julius Erving', 'person'), ('Allen Iverson', 'person'), ('76 ers', 'organization'), ('NBA', 'organization'), ('76 ers', 'organization')]	16_05_17_532.jpg	['Julius Erving', 'Allen Iverson']	[]	['76 ers', 'NBA', '76 ers']	[]
Lewis Hamilton celebrates with Justin Bieber after winning thrilling Monaco Grand Prix race	[('Lewis Hamilton', 'person'), ('Justin Bieber', 'person'), ('Monaco Grand Prix', 'miscellaneous')]	O_3917.jpg	['Lewis Hamilton', 'Justin Bieber']	[]	[]	['Monaco Grand Prix']
Have you seen these pianos in # Minneapolis ? They ' re part of @ MplsDowntown ' s # PianosOnParade !	[('Minneapolis', 'location'), ('MplsDowntown', 'location')]	17_06_11926.jpg	[]	['Minneapolis', 'MplsDowntown']	[]	[]
Kim Kardashian Vs . Khloe Kardashian : Who Wins Battle Of The Boo	[('Kim Kardashian', 'person'), ('Khloe Kardashian', 'person')]	O_133.jpg	['Kim Kardashian', 'Khloe Kardashian']	[]	[]	[]
Kentucky takes care of Ohio in 1 st game of Lexington Regional 6 - 4 . # NCAABaseball	[('Kentucky', 'organization'), ('Ohio', 'organization'), ('Lexington Regional', 'organization')]	17_06_14722.jpg	[]	[]	['Kentucky', 'Ohio', 'Lexington Regional']	[]
Great day for some Ranger baseball ! Let ' s go boys ! ! !	[('Ranger', 'organization')]	16_05_07_737.jpg	[]	[]	['Ranger']	[]
# GrammyWorthyMixtapes pt . 8 J . Cole dropped a classic . Still can play this mixtape beginning to end no skips .	[('J . Cole', 'person')]	O_331.jpg	['J . Cole']	[]	[]	[]
When you a soccer mom but also swaggy af	[]	16_05_06_283.jpg	[]	[]	[]	[]
Owen ' s birthday basketball game on his sixth birthday . Go Cats ! # B1GCats	[('Owen', 'person'), ('Cats', 'organization')]	17_01_20057.jpg	['Owen']	[]	['Cats']	[]
I am so proud of you ! ! ! Goodluck on your concert bub 💖	[]	17_06_890.jpg	[]	[]	[]	[]
Harry Potter and the Sorcerer ' s Stone ( Book 1 ) by J . K . Rowling	"[(""Harry Potter and the Sorcerer ' s Stone"", 'miscellaneous'), ('J . K . Rowling', 'person')]"	O_3793.jpg	['J . K . Rowling']	[]	[]	"[""Harry Potter and the Sorcerer ' s Stone""]"
Michigan State baseball bounced from Big Ten Tournament by Ohio State	[('Michigan State', 'organization'), ('Big Ten', 'organization'), ('Ohio State', 'organization')]	16_05_29_638.jpg	[]	[]	['Michigan State', 'Big Ten', 'Ohio State']	[]
Thunder Road : How long before Kevin Durant and Oklahoma City reign ?	[('Kevin Durant', 'person'), ('Oklahoma City', 'location')]	O_2573.jpg	['Kevin Durant']	['Oklahoma City']	[]	[]
NHL Draft 2017 : New York Rangers Select Dominik Lakatos With 157 th Overall Pick	[('NHL', 'organization'), ('New York Rangers', 'organization'), ('Dominik Lakatos', 'person')]	17_06_9615.jpg	['Dominik Lakatos']	[]	['NHL', 'New York Rangers']	[]
Eastridge baseball at frontier getting ready at frontier field for the game with Wayne	[('Eastridge', 'organization'), ('Wayne', 'organization')]	16_05_05_619.jpg	[]	[]	['Eastridge', 'Wayne']	[]
Absolutely mad that I ' m best mates with a premier league legend	[('premier league', 'organization')]	16_05_01_189.jpg	[]	[]	['premier league']	[]
Your world might be shaped like a big planet but mine is shaped like a tiny Harry Potter .	[('Harry Potter', 'miscellaneous')]	O_2881.jpg	[]	[]	[]	['Harry Potter']
@ kirstin_taylor @ scotthoying 12 . At a baseball game in middle school with my best friend Gill	[('kirstin_taylor', 'person'), ('scotthoying', 'person'), ('Gill', 'person')]	17_06_9989.jpg	['kirstin_taylor', 'scotthoying', 'Gill']	[]	[]	[]
Photographer Markus Klinko creates rare David Bowie photo exhibit in Hollywood	[('Markus Klinko', 'person'), ('David Bowie', 'person'), ('Hollywood', 'location')]	O_2976.jpg	['Markus Klinko', 'David Bowie']	['Hollywood']	[]	[]
Throwback to the time Alex was part of One Direction	[('Alex', 'person'), ('One Direction', 'person')]	O_395.jpg	['Alex', 'One Direction']	[]	[]	[]
Best Bday ever ! Beach in the AM , opening for # colliebuddz at a reggae festival in the PM t …	[]	16_05_07_197.jpg	[]	[]	[]	[]
R . I . P . to one of the realest dogs in the game . Crazy we were just playing soccer together last week . . . Miss you smokey	[]	16_05_18_3.jpg	[]	[]	[]	[]
barack obama . king . america ' s daddy . amazing . funny . kind . helped america . 1000 % better than trump .	[('barack obama', 'person'), ('america', 'location'), ('america', 'location'), ('trump', 'person')]	O_284.jpg	['barack obama', 'trump']	['america', 'america']	[]	[]
Justin Bieber and Kendall Jenner have helped improved Calvin Klein sales by 13 %	[('Justin Bieber', 'person'), ('Kendall Jenner', 'person'), ('Calvin Klein', 'organization')]	O_980.jpg	['Justin Bieber', 'Kendall Jenner']	[]	['Calvin Klein']	[]
Sonam Kapoor to walk on Red Carpet at Cannes Film Festival . . .	[('Sonam Kapoor', 'person'), ('Cannes Film Festival', 'miscellaneous')]	16_05_07_727.jpg	['Sonam Kapoor']	[]	[]	['Cannes Film Festival']
From Justin Bieber to Farruko , check out J Balvin ' s most memorable collaborations	[('Justin Bieber', 'person'), ('Farruko', 'person'), ('J Balvin', 'person')]	O_2918.jpg	['Justin Bieber', 'Farruko', 'J Balvin']	[]	[]	[]
MLB notes : Rays outfielder Kevin Kiermaier to miss two month # news # news	[('MLB', 'organization'), ('Rays', 'organization'), ('Kevin Kiermaier', 'person')]	17_06_7872.jpg	['Kevin Kiermaier']	[]	['MLB', 'Rays']	[]
Billionaire investor @ peterthiel will be a delegate for Donald Trump	[('peterthiel', 'person'), ('Donald Trump', 'person')]	O_632.jpg	['peterthiel', 'Donald Trump']	[]	[]	[]
Twin Peaks Fire Walk With Me ( Weird David Bowie ) . . .	[('Twin Peaks Fire Walk With Me', 'miscellaneous'), ('David Bowie', 'person')]	O_1802.jpg	['David Bowie']	[]	[]	['Twin Peaks Fire Walk With Me']
Augustana baseball awards announced for 2017 . @ Augie_Baseball	[('Augustana', 'organization'), ('Augie_Baseball', 'organization')]	17_06_10579.jpg	[]	[]	['Augustana', 'Augie_Baseball']	[]
Get your @ SalineBaseball State Championship Gear at	[('SalineBaseball', 'organization')]	17_06_13227.jpg	[]	[]	['SalineBaseball']	[]
Did Akshay Kumar just take a dig at Shah Rukh Khan while . . .	[('Akshay Kumar', 'person'), ('Shah Rukh Khan', 'person')]	O_466.jpg	['Akshay Kumar', 'Shah Rukh Khan']	[]	[]	[]
Kiwanis Club of Greater Anaheim – All Star Baseball Game	[('Kiwanis Club of Greater Anaheim', 'organization')]	17_06_16006.jpg	[]	[]	['Kiwanis Club of Greater Anaheim']	[]
Chilling watching football in the sun it ' s so hot and I ' m hanging where is my sausage and bacon sandwich	[]	16_05_08_852.jpg	[]	[]	[]	[]
Michael Jackson and Taylor Swift are the only artists in history to have a BMI Award named after them .	[('Michael Jackson', 'person'), ('Taylor Swift', 'person'), ('BMI Award', 'miscellaneous')]	O_4397.jpg	['Michael Jackson', 'Taylor Swift']	[]	[]	['BMI Award']
Paul Ryan ally doubts speaker will ever fully endorse Donald Trump	[('Paul Ryan', 'person'), ('Donald Trump', 'person')]	O_4756.jpg	['Paul Ryan', 'Donald Trump']	[]	[]	[]
Heidi Klum stuns in bright pink maxi dress during Cannes Film Festival 2016	[('Heidi Klum', 'person'), ('Cannes Film Festival', 'miscellaneous')]	16_05_15_654.jpg	['Heidi Klum']	[]	[]	['Cannes Film Festival']
Tobey Maguire and Leonardo DiCaprio bowling together , 1989 .	[('Tobey Maguire', 'person'), ('Leonardo DiCaprio', 'person')]	O_3498.jpg	['Tobey Maguire', 'Leonardo DiCaprio']	[]	[]	[]
Might take a flight out for the weekend , and go Cannes - cause I can ' 🎵 # cannesfilmfestival # newproject # imback by …	[('Cannes', 'location'), ('cannesfilmfestival', 'miscellaneous')]	16_05_11_802.jpg	[]	['Cannes']	[]	['cannesfilmfestival']
Miami vs . Georgia Tech Baseball Highlights May 9 2016 WATCH at :	[('Miami', 'organization'), ('Georgia Tech', 'organization')]	16_05_09_962.jpg	[]	[]	['Miami', 'Georgia Tech']	[]
Woohyun is in the line up for Dream Concert 2016 ! ! ! !	[('Woohyun', 'person')]	16_05_03_446.jpg	['Woohyun']	[]	[]	[]
i rted this and got vip vamps tickets and harry styles tickets ☺ ️ RT FOR GOOD LUCK	[('vamps', 'person'), ('harry styles', 'person')]	O_164.jpg	['vamps', 'harry styles']	[]	[]	[]
Very proud to see @ BryceKrueger sign his NLI to play basketball with Drury University ! Luv ya ! !	[('BryceKrueger', 'person'), ('Drury University', 'organization')]	16_05_09_598.jpg	['BryceKrueger']	[]	['Drury University']	[]
"Trending in EU : "" No way . . . The only thing we blow up today is our inflatable pool . . . """	[('EU', 'location')]	17_06_13496.jpg	[]	['EU']	[]	[]
Times Square New York City via @ World @ MiradorRE	[('Times Square', 'location'), ('New York City', 'location'), ('MiradorRE', 'organization')]	O_3360.jpg	[]	['Times Square', 'New York City']	['MiradorRE']	[]
( 14 ) More photos of Justin Bieber performing on the # PurposeTour tonight in Quebec , Canada . ( May 14 )	[('Justin Bieber', 'person'), ('Quebec', 'location'), ('Canada', 'location')]	O_1483.jpg	['Justin Bieber']	['Quebec', 'Canada']	[]	[]
